,year,quarter,health_authority,hospital,procedure,waiting,completed,wait_time_50,wait_time_90,Y_Q
71125,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Skin Surgery,3,5,25.0,42.7,18_Q1
71126,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Skin Tumour Removal,33,21,15.9,36.6,18_Q1
71127,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Tendon Surgery,6,6,3.8,20.6,18_Q1
71128,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Thyroidectomy,11,19,12.6,20.1,18_Q1
71129,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Tonsillectomy/Adenoidectomy,42,30,30.1,44.2,18_Q1
71130,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Uterine Surgery,113,134,10.0,20.0,18_Q1
71131,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Vaginal Repair,18,10,8.4,16.8,18_Q1
71132,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Varicose Veins Ligation/Stripping,184,52,25.9,48.1,18_Q1
71133,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Vascular Bypass Graft - Non Cardiac,8,17,2.1,5.7,18_Q1
71134,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Vascular Surgery - Other,8,15,2.7,8.1,18_Q1
71135,2018,Q1,Fraser,Abbotsford Regional Hospital And Cancer Centre,Wound/Laceration Care,14,20,9.6,28.8,18_Q1
71213,2018,Q1,Fraser,Burnaby Hospital,All Other Procedures,24,25,10.3,20.2,18_Q1
71215,2018,Q1,Fraser,Burnaby Hospital,Biopsy in OR,3,5,3.0,4.1,18_Q1
71216,2018,Q1,Fraser,Burnaby Hospital,Bladder Surgery,25,56,4.1,12.9,18_Q1
71217,2018,Q1,Fraser,Burnaby Hospital,Bowel Resection,11,19,3.1,7.3,18_Q1
71218,2018,Q1,Fraser,Burnaby Hospital,Breast Biopsy,3,9,2.6,4.8,18_Q1
71219,2018,Q1,Fraser,Burnaby Hospital,Breast Reconstruction,13,9,9.9,27.5,18_Q1
71220,2018,Q1,Fraser,Burnaby Hospital,Breast Reduction,62,43,18.4,38.8,18_Q1
71221,2018,Q1,Fraser,Burnaby Hospital,Cataract Surgery,937,711,9.1,22.6,18_Q1
71222,2018,Q1,Fraser,Burnaby Hospital,Cholecystectomy,50,58,4.0,22.1,18_Q1
71223,2018,Q1,Fraser,Burnaby Hospital,D&C and Related Surgery,63,61,6.1,15.1,18_Q1
71224,2018,Q1,Fraser,Burnaby Hospital,Dental Surgery,3,6,3.1,16.7,18_Q1
71225,2018,Q1,Fraser,Burnaby Hospital,Examination Under Anaesthetic,3,5,4.1,6.2,18_Q1
71226,2018,Q1,Fraser,Burnaby Hospital,Excision Gynecomastia,3,5,17.3,23.9,18_Q1
71227,2018,Q1,Fraser,Burnaby Hospital,Excision Lesion/Tumour,5,5,6.0,13.2,18_Q1
71228,2018,Q1,Fraser,Burnaby Hospital,Fallopian Tube/Ovarian Surgery,28,23,9.4,15.8,18_Q1
71229,2018,Q1,Fraser,Burnaby Hospital,Fistula Repair - Non Vascular,8,16,3.0,30.4,18_Q1
71230,2018,Q1,Fraser,Burnaby Hospital,Fracture Repair,3,5,4.1,8.6,18_Q1
71231,2018,Q1,Fraser,Burnaby Hospital,Hand/Wrist Surgery,55,35,7.1,16.1,18_Q1
71232,2018,Q1,Fraser,Burnaby Hospital,Hernia Repair - Abdominal,127,116,5.9,18.6,18_Q1
71233,2018,Q1,Fraser,Burnaby Hospital,Hip Replacement,104,114,6.1,19.2,18_Q1
71234,2018,Q1,Fraser,Burnaby Hospital,Kidney/Bladder Stone Removal,3,6,3.2,5.7,18_Q1
71235,2018,Q1,Fraser,Burnaby Hospital,Knee - ACL Repair,16,8,9.1,14.6,18_Q1
71236,2018,Q1,Fraser,Burnaby Hospital,Knee Arthroscopy,24,33,5.7,11.7,18_Q1
71237,2018,Q1,Fraser,Burnaby Hospital,Knee Replacement,165,190,7.1,17.6,18_Q1
71238,2018,Q1,Fraser,Burnaby Hospital,Lens & Vitreous (non-cataract) Surgery,3,20,3.4,9.3,18_Q1
71239,2018,Q1,Fraser,Burnaby Hospital,Male Reproductive Surgery,5,14,3.8,15.2,18_Q1
71240,2018,Q1,Fraser,Burnaby Hospital,Mastectomy,9,16,2.6,24.4,18_Q1
71241,2018,Q1,Fraser,Burnaby Hospital,Nasal Surgery,121,91,9.0,29.9,18_Q1
71242,2018,Q1,Fraser,Burnaby Hospital,Nerve Surgery,8,6,5.1,26.1,18_Q1
71243,2018,Q1,Fraser,Burnaby Hospital,Other Eye Surgery,116,98,4.5,16.6,18_Q1
71244,2018,Q1,Fraser,Burnaby Hospital,Other Joint Reconstruction,8,7,4.0,31.1,18_Q1
71245,2018,Q1,Fraser,Burnaby Hospital,Other Orthopaedic Surgery,20,27,3.9,22.2,18_Q1
71246,2018,Q1,Fraser,Burnaby Hospital,Other Urology Surgery,26,59,2.7,9.3,18_Q1
71247,2018,Q1,Fraser,Burnaby Hospital,Prostate Surgery,63,90,4.4,23.6,18_Q1
71248,2018,Q1,Fraser,Burnaby Hospital,Rectal Surgery,12,9,2.6,13.9,18_Q1
71249,2018,Q1,Fraser,Burnaby Hospital,Shoulder Surgery,35,31,5.9,25.6,18_Q1
71250,2018,Q1,Fraser,Burnaby Hospital,Sinus Surgery,143,81,16.7,30.3,18_Q1
71251,2018,Q1,Fraser,Burnaby Hospital,Skin Surgery,9,8,26.4,33.9,18_Q1
71252,2018,Q1,Fraser,Burnaby Hospital,Skin Tumour Removal,21,21,3.0,19.1,18_Q1
71253,2018,Q1,Fraser,Burnaby Hospital,Tonsillectomy/Adenoidectomy,24,31,6.3,17.0,18_Q1
71254,2018,Q1,Fraser,Burnaby Hospital,Tympanoplasty,9,6,7.4,12.6,18_Q1
71255,2018,Q1,Fraser,Burnaby Hospital,Uterine Surgery,55,68,8.6,14.6,18_Q1
71256,2018,Q1,Fraser,Burnaby Hospital,Wound/Laceration Care,3,7,2.1,14.1,18_Q1
71257,2018,Q1,Fraser,Chilliwack General Hospital,All Other Procedures,3,13,14.0,28.0,18_Q1
71259,2018,Q1,Fraser,Chilliwack General Hospital,Biopsy in OR,3,6,2.0,4.9,18_Q1
71260,2018,Q1,Fraser,Chilliwack General Hospital,Bladder Surgery,33,36,4.8,28.6,18_Q1
71261,2018,Q1,Fraser,Chilliwack General Hospital,Bowel Resection,7,11,4.9,13.7,18_Q1
71262,2018,Q1,Fraser,Chilliwack General Hospital,Breast Biopsy,8,24,2.6,5.4,18_Q1
71263,2018,Q1,Fraser,Chilliwack General Hospital,Cataract Surgery,1715,1331,14.1,31.3,18_Q1
71264,2018,Q1,Fraser,Chilliwack General Hospital,Cholecystectomy,39,47,4.9,17.0,18_Q1
71265,2018,Q1,Fraser,Chilliwack General Hospital,Colostomy/Ileostomy,3,8,9.8,21.3,18_Q1
71266,2018,Q1,Fraser,Chilliwack General Hospital,Cone Biopsy,3,12,10.3,16.1,18_Q1
71267,2018,Q1,Fraser,Chilliwack General Hospital,D&C and Related Surgery,44,28,13.3,30.3,18_Q1
71268,2018,Q1,Fraser,Chilliwack General Hospital,Dental Surgery,21,10,5.9,21.9,18_Q1
71269,2018,Q1,Fraser,Chilliwack General Hospital,Examination Under Anaesthetic,3,7,3.1,7.3,18_Q1
71270,2018,Q1,Fraser,Chilliwack General Hospital,Fallopian Tube/Ovarian Surgery,47,23,6.7,12.0,18_Q1
71271,2018,Q1,Fraser,Chilliwack General Hospital,Hernia Repair - Abdominal,81,65,10.7,23.8,18_Q1
71272,2018,Q1,Fraser,Chilliwack General Hospital,Hip Replacement,51,25,7.6,25.2,18_Q1
71273,2018,Q1,Fraser,Chilliwack General Hospital,Knee - ACL Repair,29,14,11.6,16.1,18_Q1
71274,2018,Q1,Fraser,Chilliwack General Hospital,Knee - Meniscectomy,12,16,9.4,16.8,18_Q1
71275,2018,Q1,Fraser,Chilliwack General Hospital,Knee Replacement,83,63,10.9,37.9,18_Q1
71276,2018,Q1,Fraser,Chilliwack General Hospital,Laparoscopy,13,10,5.3,28.4,18_Q1
71277,2018,Q1,Fraser,Chilliwack General Hospital,Male Reproductive Surgery,19,21,8.0,26.9,18_Q1
71278,2018,Q1,Fraser,Chilliwack General Hospital,Mastectomy,3,15,2.4,3.9,18_Q1
71279,2018,Q1,Fraser,Chilliwack General Hospital,Myringotomy,3,8,6.4,10.8,18_Q1
71280,2018,Q1,Fraser,Chilliwack General Hospital,Nasal Surgery,38,8,7.5,19.2,18_Q1
71281,2018,Q1,Fraser,Chilliwack General Hospital,Other Orthopaedic Surgery,14,16,7.1,15.6,18_Q1
71282,2018,Q1,Fraser,Chilliwack General Hospital,Other Urology Surgery,42,31,4.4,15.9,18_Q1
71283,2018,Q1,Fraser,Chilliwack General Hospital,Prostate Surgery,36,47,7.9,28.6,18_Q1
71284,2018,Q1,Fraser,Chilliwack General Hospital,Shoulder Surgery,17,8,15.2,17.1,18_Q1
71285,2018,Q1,Fraser,Chilliwack General Hospital,Sinus Surgery,7,5,3.0,6.4,18_Q1
71286,2018,Q1,Fraser,Chilliwack General Hospital,Skin Tumour Removal,6,5,2.4,5.8,18_Q1
71287,2018,Q1,Fraser,Chilliwack General Hospital,Tonsillectomy/Adenoidectomy,22,12,7.8,16.0,18_Q1
71288,2018,Q1,Fraser,Chilliwack General Hospital,Uterine Surgery,148,71,21.9,35.1,18_Q1
71289,2018,Q1,Fraser,Chilliwack General Hospital,Vaginal Repair,38,20,31.7,38.8,18_Q1
71290,2018,Q1,Fraser,Delta Hospital,All Other Procedures,3,9,4.3,9.8,18_Q1
71292,2018,Q1,Fraser,Delta Hospital,Biopsy in OR,3,6,5.8,14.1,18_Q1
71293,2018,Q1,Fraser,Delta Hospital,Bladder Surgery,25,30,5.6,12.3,18_Q1
71294,2018,Q1,Fraser,Delta Hospital,Breast Biopsy,3,27,2.7,7.3,18_Q1
71295,2018,Q1,Fraser,Delta Hospital,Breast Reduction,22,23,6.9,12.9,18_Q1
71296,2018,Q1,Fraser,Delta Hospital,Cataract Surgery,273,227,4.1,28.4,18_Q1
71297,2018,Q1,Fraser,Delta Hospital,Cholecystectomy,53,70,4.9,10.1,18_Q1
71298,2018,Q1,Fraser,Delta Hospital,D&C and Related Surgery,85,94,5.3,12.0,18_Q1
71299,2018,Q1,Fraser,Delta Hospital,Excision Lesion/Tumour,13,9,5.9,8.7,18_Q1
71300,2018,Q1,Fraser,Delta Hospital,Fallopian Tube/Ovarian Surgery,22,17,9.9,13.9,18_Q1
71301,2018,Q1,Fraser,Delta Hospital,Fistula Repair - Non Vascular,7,7,8.0,21.4,18_Q1
71302,2018,Q1,Fraser,Delta Hospital,Hernia Repair - Abdominal,104,121,6.6,19.0,18_Q1
71303,2018,Q1,Fraser,Delta Hospital,Knee - ACL Repair,18,19,4.0,10.6,18_Q1
71304,2018,Q1,Fraser,Delta Hospital,Knee - Meniscectomy,12,5,4.1,8.9,18_Q1
71305,2018,Q1,Fraser,Delta Hospital,Knee Arthroscopy,48,55,5.1,14.0,18_Q1
71306,2018,Q1,Fraser,Delta Hospital,Mastectomy,14,37,2.6,5.2,18_Q1
71307,2018,Q1,Fraser,Delta Hospital,Nasal Surgery,11,19,11.6,30.1,18_Q1
71308,2018,Q1,Fraser,Delta Hospital,Other Eye Surgery,65,73,7.3,14.6,18_Q1
71309,2018,Q1,Fraser,Delta Hospital,Other Joint Reconstruction,12,12,7.1,15.0,18_Q1
71310,2018,Q1,Fraser,Delta Hospital,Other Orthopaedic Surgery,44,26,7.1,18.5,18_Q1
71311,2018,Q1,Fraser,Delta Hospital,Other Urology Surgery,5,7,2.6,7.1,18_Q1
71312,2018,Q1,Fraser,Delta Hospital,Rectal Surgery,32,35,8.9,18.4,18_Q1
71313,2018,Q1,Fraser,Delta Hospital,Skin Tumour Removal,84,88,7.6,18.8,18_Q1
71314,2018,Q1,Fraser,Delta Hospital,Uterine Surgery,45,9,11.6,15.9,18_Q1
71315,2018,Q1,Fraser,Delta Hospital,Vaginal Repair,12,12,6.8,11.9,18_Q1
71316,2018,Q1,Fraser,Delta Hospital,Varicose Veins Ligation/Stripping,43,8,24.6,34.3,18_Q1
71317,2018,Q1,Fraser,Delta Hospital,Wound/Laceration Care,8,12,5.1,15.2,18_Q1
71318,2018,Q1,Fraser,Eagle Ridge Hospital,Abdominoplasty,25,8,16.6,50.0,18_Q1
71319,2018,Q1,Fraser,Eagle Ridge Hospital,All Other Procedures,25,23,10.9,29.8,18_Q1
71321,2018,Q1,Fraser,Eagle Ridge Hospital,Appendectomy,7,5,2.7,4.3,18_Q1
71322,2018,Q1,Fraser,Eagle Ridge Hospital,Biopsy in OR,8,11,3.0,13.0,18_Q1
71323,2018,Q1,Fraser,Eagle Ridge Hospital,Bladder Surgery,19,45,4.4,18.6,18_Q1
71324,2018,Q1,Fraser,Eagle Ridge Hospital,Bowel Resection,3,6,3.5,16.4,18_Q1
71325,2018,Q1,Fraser,Eagle Ridge Hospital,Breast Biopsy,8,6,2.1,4.5,18_Q1
71326,2018,Q1,Fraser,Eagle Ridge Hospital,Breast Reconstruction,15,9,7.0,49.4,18_Q1
71327,2018,Q1,Fraser,Eagle Ridge Hospital,Breast Reduction,97,44,18.6,38.0,18_Q1
71328,2018,Q1,Fraser,Eagle Ridge Hospital,Cholecystectomy,89,108,6.9,12.3,18_Q1
71329,2018,Q1,Fraser,Eagle Ridge Hospital,D&C and Related Surgery,27,35,7.0,18.5,18_Q1
71330,2018,Q1,Fraser,Eagle Ridge Hospital,Dental Surgery,85,74,12.6,28.3,18_Q1
71331,2018,Q1,Fraser,Eagle Ridge Hospital,Examination Under Anaesthetic,30,47,5.0,29.9,18_Q1
71332,2018,Q1,Fraser,Eagle Ridge Hospital,Excision Lesion/Tumour,21,20,8.3,19.0,18_Q1
71333,2018,Q1,Fraser,Eagle Ridge Hospital,Facial Bone Reconstruction,5,7,16.6,34.7,18_Q1
71334,2018,Q1,Fraser,Eagle Ridge Hospital,Fallopian Tube/Ovarian Surgery,42,20,14.4,28.0,18_Q1
71335,2018,Q1,Fraser,Eagle Ridge Hospital,Foot/Ankle Surgery,6,15,12.1,37.2,18_Q1
71336,2018,Q1,Fraser,Eagle Ridge Hospital,Fracture Repair,14,24,1.5,14.7,18_Q1
71337,2018,Q1,Fraser,Eagle Ridge Hospital,Hand/Wrist Surgery,44,47,6.0,13.7,18_Q1
71338,2018,Q1,Fraser,Eagle Ridge Hospital,Hernia Repair - Abdominal,157,194,8.7,15.5,18_Q1
71339,2018,Q1,Fraser,Eagle Ridge Hospital,Kidney/Bladder Stone Removal,3,8,2.8,4.5,18_Q1
71340,2018,Q1,Fraser,Eagle Ridge Hospital,Knee - ACL Repair,28,55,5.9,28.9,18_Q1
71341,2018,Q1,Fraser,Eagle Ridge Hospital,Knee Arthroscopy,9,59,5.6,19.0,18_Q1
71342,2018,Q1,Fraser,Eagle Ridge Hospital,Knee Replacement,57,11,27.3,50.0,18_Q1
71343,2018,Q1,Fraser,Eagle Ridge Hospital,Laparoscopy,7,14,12.5,27.4,18_Q1
71344,2018,Q1,Fraser,Eagle Ridge Hospital,Ligament Surgery,9,9,6.4,12.2,18_Q1
71345,2018,Q1,Fraser,Eagle Ridge Hospital,Male Reproductive Surgery,10,6,4.9,16.6,18_Q1
71346,2018,Q1,Fraser,Eagle Ridge Hospital,Mastectomy,8,24,2.7,4.9,18_Q1
71347,2018,Q1,Fraser,Eagle Ridge Hospital,Myringotomy,13,15,6.9,12.6,18_Q1
71348,2018,Q1,Fraser,Eagle Ridge Hospital,Nasal Surgery,272,40,56.2,72.2,18_Q1
71349,2018,Q1,Fraser,Eagle Ridge Hospital,Nerve Surgery,16,7,10.4,17.7,18_Q1
71350,2018,Q1,Fraser,Eagle Ridge Hospital,Other Joint Reconstruction,77,31,16.6,30.7,18_Q1
71351,2018,Q1,Fraser,Eagle Ridge Hospital,Other Orthopaedic Surgery,72,60,10.0,24.9,18_Q1
71352,2018,Q1,Fraser,Eagle Ridge Hospital,Other Urology Surgery,24,42,3.3,7.0,18_Q1
71353,2018,Q1,Fraser,Eagle Ridge Hospital,Parotidectomy,11,12,15.0,30.8,18_Q1
71354,2018,Q1,Fraser,Eagle Ridge Hospital,Prostate Surgery,17,25,3.9,15.8,18_Q1
71355,2018,Q1,Fraser,Eagle Ridge Hospital,Rectal Surgery,14,15,2.7,17.0,18_Q1
71356,2018,Q1,Fraser,Eagle Ridge Hospital,Shoulder Surgery,59,44,9.6,15.0,18_Q1
71357,2018,Q1,Fraser,Eagle Ridge Hospital,Skin Surgery,30,11,11.7,24.4,18_Q1
71358,2018,Q1,Fraser,Eagle Ridge Hospital,Skin Tumour Removal,25,41,5.0,14.0,18_Q1
71359,2018,Q1,Fraser,Eagle Ridge Hospital,Spinal/Back Surgery,211,79,11.3,30.9,18_Q1
71360,2018,Q1,Fraser,Eagle Ridge Hospital,Tendon Surgery,14,15,5.1,23.0,18_Q1
71361,2018,Q1,Fraser,Eagle Ridge Hospital,Thyroidectomy,31,28,16.7,35.6,18_Q1
71362,2018,Q1,Fraser,Eagle Ridge Hospital,Tonsillectomy/Adenoidectomy,154,39,17.1,63.0,18_Q1
71363,2018,Q1,Fraser,Eagle Ridge Hospital,Uterine Surgery,90,53,10.3,29.4,18_Q1
71364,2018,Q1,Fraser,Eagle Ridge Hospital,Vaginal Repair,14,14,11.1,25.1,18_Q1
71365,2018,Q1,Fraser,Eagle Ridge Hospital,Varicose Veins Ligation/Stripping,90,41,24.4,54.1,18_Q1
71366,2018,Q1,Fraser,Eagle Ridge Hospital,Wound/Laceration Care,16,15,4.7,11.8,18_Q1
71367,2018,Q1,Fraser,Langley Memorial Hospital,All Other Procedures,7,18,5.1,21.5,18_Q1
71369,2018,Q1,Fraser,Langley Memorial Hospital,Bladder Surgery,50,50,3.7,11.2,18_Q1
71370,2018,Q1,Fraser,Langley Memorial Hospital,Bowel Resection,5,24,2.1,5.0,18_Q1
71371,2018,Q1,Fraser,Langley Memorial Hospital,Cataract Surgery,584,640,15.5,27.0,18_Q1
71372,2018,Q1,Fraser,Langley Memorial Hospital,Cholecystectomy,24,38,4.3,9.3,18_Q1
71373,2018,Q1,Fraser,Langley Memorial Hospital,Cyst/Ganglion Removal,11,5,5.3,10.3,18_Q1
71374,2018,Q1,Fraser,Langley Memorial Hospital,D&C and Related Surgery,43,33,18.7,36.4,18_Q1
71375,2018,Q1,Fraser,Langley Memorial Hospital,Dental Surgery,51,45,15.0,22.1,18_Q1
71376,2018,Q1,Fraser,Langley Memorial Hospital,Examination Under Anaesthetic,3,8,7.4,10.2,18_Q1
71377,2018,Q1,Fraser,Langley Memorial Hospital,Excision Lesion/Tumour,8,5,3.4,7.5,18_Q1
71378,2018,Q1,Fraser,Langley Memorial Hospital,Facial Bone Reconstruction,6,7,11.9,26.8,18_Q1
71379,2018,Q1,Fraser,Langley Memorial Hospital,Fallopian Tube/Ovarian Surgery,33,17,11.7,30.1,18_Q1
71380,2018,Q1,Fraser,Langley Memorial Hospital,Hernia Repair - Abdominal,82,94,5.5,13.0,18_Q1
71381,2018,Q1,Fraser,Langley Memorial Hospital,Hip Replacement,105,39,18.9,29.2,18_Q1
71382,2018,Q1,Fraser,Langley Memorial Hospital,Kidney/Bladder Stone Removal,6,7,5.1,8.4,18_Q1
71383,2018,Q1,Fraser,Langley Memorial Hospital,Knee - ACL Repair,32,9,25.3,36.2,18_Q1
71384,2018,Q1,Fraser,Langley Memorial Hospital,Knee - Meniscectomy,27,18,9.6,21.6,18_Q1
71385,2018,Q1,Fraser,Langley Memorial Hospital,Knee Arthroscopy,23,21,7.3,18.0,18_Q1
71386,2018,Q1,Fraser,Langley Memorial Hospital,Knee Replacement,255,105,21.6,33.4,18_Q1
71387,2018,Q1,Fraser,Langley Memorial Hospital,Laparoscopy,7,7,16.4,25.3,18_Q1
71388,2018,Q1,Fraser,Langley Memorial Hospital,Male Reproductive Surgery,3,9,12.0,19.3,18_Q1
71389,2018,Q1,Fraser,Langley Memorial Hospital,Myringotomy,3,11,2.6,3.4,18_Q1
71390,2018,Q1,Fraser,Langley Memorial Hospital,Nasal Surgery,9,7,6.0,11.2,18_Q1
71391,2018,Q1,Fraser,Langley Memorial Hospital,Other Joint Reconstruction,14,15,9.1,18.8,18_Q1
71392,2018,Q1,Fraser,Langley Memorial Hospital,Other Orthopaedic Surgery,14,9,9.1,28.7,18_Q1
71393,2018,Q1,Fraser,Langley Memorial Hospital,Other Urology Surgery,40,82,3.7,12.0,18_Q1
71394,2018,Q1,Fraser,Langley Memorial Hospital,Prostate Surgery,21,47,8.9,15.9,18_Q1
71395,2018,Q1,Fraser,Langley Memorial Hospital,Shoulder Surgery,78,30,24.8,35.2,18_Q1
71396,2018,Q1,Fraser,Langley Memorial Hospital,Sinus Surgery,5,5,9.4,15.3,18_Q1
71397,2018,Q1,Fraser,Langley Memorial Hospital,Skin Tumour Removal,14,6,3.9,5.8,18_Q1
71398,2018,Q1,Fraser,Langley Memorial Hospital,Tonsillectomy/Adenoidectomy,7,21,3.4,7.3,18_Q1
71399,2018,Q1,Fraser,Langley Memorial Hospital,Uterine Surgery,145,67,16.5,35.4,18_Q1
71400,2018,Q1,Fraser,Langley Memorial Hospital,Vaginal Repair,26,8,33.2,38.5,18_Q1
71401,2018,Q1,Fraser,Pattison Outpatient Centre,All Other Procedures,61,26,4.2,15.9,18_Q1
71403,2018,Q1,Fraser,Pattison Outpatient Centre,Biopsy in OR,10,20,1.9,3.3,18_Q1
71404,2018,Q1,Fraser,Pattison Outpatient Centre,Bladder Surgery,51,46,2.9,8.9,18_Q1
71405,2018,Q1,Fraser,Pattison Outpatient Centre,Breast Biopsy,6,21,3.3,5.4,18_Q1
71406,2018,Q1,Fraser,Pattison Outpatient Centre,Breast Reconstruction,105,45,16.9,34.4,18_Q1
71407,2018,Q1,Fraser,Pattison Outpatient Centre,Breast Reduction,198,38,27.0,48.8,18_Q1
71408,2018,Q1,Fraser,Pattison Outpatient Centre,Cholecystectomy,163,94,8.6,24.5,18_Q1
71409,2018,Q1,Fraser,Pattison Outpatient Centre,D&C and Related Surgery,90,76,2.6,13.8,18_Q1
71410,2018,Q1,Fraser,Pattison Outpatient Centre,Examination Under Anaesthetic,3,5,3.1,3.3,18_Q1
71411,2018,Q1,Fraser,Pattison Outpatient Centre,Excision Lesion/Tumour,20,10,7.6,15.5,18_Q1
71412,2018,Q1,Fraser,Pattison Outpatient Centre,Fallopian Tube/Ovarian Surgery,102,32,4.1,20.1,18_Q1
71413,2018,Q1,Fraser,Pattison Outpatient Centre,Foot/Ankle Surgery,64,8,50.4,70.6,18_Q1
71414,2018,Q1,Fraser,Pattison Outpatient Centre,Fracture Repair,9,5,0.6,16.3,18_Q1
71415,2018,Q1,Fraser,Pattison Outpatient Centre,Hand/Wrist Surgery,33,7,12.0,36.2,18_Q1
